Accession	HorE	A_70_7pt5	B_70_7pt5	C_70_7pt5	A_70_15	B_70_15	C_70_15	D_70_15	A_70_45	B_70_45	C_70_45
sp|P62805|H4_HUMAN	human	2908732325	3112925184	2627665001	3051372195	3040042255	3572659927	2626744761	2400774313	2223529071	2363598649
sp|P84243|H33_HUMAN_family	human	1222292058	1115616901	1161801624	1161350067	1219868755	1323413605	1072041130	832352716	902382421	885155081
sp|P04075|ALDOA_HUMAN	human	1226250606	1002835093	1168381294	1119901116	1180824427	1267823786	1029362501	839958309	980026745	834765226
sp|P06733|ENOA_HUMAN	human	1124300695	948181798	1099198017	1129777877	1118672863	1166990631	987610656	794472644	860622457	804756410
sp|P0A910|OMPA_ECOLI	E.coli	518509048	426862743	503157962	963831274	840705063	981373576	756890206	1528282216	1792328341	1686048313
sp|P58876|H2B1D_HUMAN_family	human	1085441583	1030491243	950090630	965378697	1072518172	1124817339	973894500	767610511	891973375	749290571
sp|P08238|HS90B_HUMAN_family	human	643703999	545159332	634539875	704827706	707453448	728273560	646123110	522671540	634884968	567330751
sp|P04406|G3P_HUMAN	human	626590019	637395016	629518856	737257418	685790814	745299898	596727691	547748388	549039022	528481229
sp|P10809|CH60_HUMAN	human	655920620	615477137	632199841	710380810	656039610	748141018	591192258	518268567	564708281	522466802
sp|P0CE47|EFTU1_ECOLI (+1)	E.coli	284616420	247851743	301413992	533865730	477412442	562052694	440845693	874429398	1032340276	972156262
sp|P06748|NPM_HUMAN	human	599351023	557867054	562947548	643451518	598096635	642497863	535896787	479803578	551418026	475119386
sp|P02931|OMPF_ECOLI	E.coli	283618164	247994786	271038745	562420386	450057785	586438226	414510883	806182974	1023175005	896281731
sp|P25665|METE_ECOLI	E.coli	294590592	248005830	290032634	535942264	466332982	551930414	431174068	817237969	963442091	891932932
sp|P21333|FLNA_HUMAN	human	544590641	486647167	536030562	581303915	576866746	615172692	501302843	422773269	449485289	424571432
sp|P49327|FAS_HUMAN	human	547900218	481712561	520189706	563520129	562159035	593896369	499215509	417210822	476352971	429572989
sp|P16403|H12_HUMAN_family	human	543549621	576539505	526821610	510036935	561642178	585239405	486348882	433386716	417003163	409783045
sp|Q9NY65|TBA8_HUMAN_family	human	480975863	492820424	485475305	551424146	545497919	622766269	493437647	427815347	456514527	413866271
sp|P60709|ACTB_HUMAN_family	human	445696887	495943549	491568134	634738978	564432496	569146105	523510767	384727728	435150773	425158802
sp|P68104|EF1A1_HUMAN	human	534365580	450674152	493384092	565363919	604345460	536383732	474018109	415717471	445497742	399830042
sp|P22626|ROA2_HUMAN	human	507037982	503466098	501108935	532273826	540054912	581253163	464491103	401819534	459689886	409035348
sp|P04792|HSPB1_HUMAN	human	551449933	483053917	508879397	521923253	497488510	597525073	466958661	374954774	397493232	382519693
sp|P19338|NUCL_HUMAN	human	494052320	474685696	464753917	509410961	499445209	550601626	461844029	383291565	417196522	384510308
sp|P13639|EF2_HUMAN	human	488135129	424362271	476015364	519520078	498305867	514085175	436554092	364449870	396391118	360677345
sp|P30050|RL12_HUMAN	human	478246395	401475098	481957065	492039457	490527221	510505509	468131370	336170392	390310574	330190280
sp|P0A9G6|ACEA_ECOLI	E.coli	232614408	187404716	222337577	411082086	363565633	426735393	325529543	604547537	743645607	664218522
sp|P0A7V3|RS3_ECOLI	E.coli	229787689	189071772	217559497	377192968	337403712	414563701	306067867	599348165	689451877	663816285
sp|P00448|SODM_ECOLI	E.coli	179539616	152693828	192093727	363911973	300273957	381074017	280299854	605497259	624031896	619298352
sp|Q15149|PLEC_HUMAN	human	384168413	351855718	374936060	411443843	394989790	440677015	360481201	304080679	324925902	305359023
sp|P11142|HSP7C_HUMAN	human	402402555	349179931	384150872	402364853	392962486	426836915	360305161	297724990	320822626	300240164
sp|P22392|NDKB_HUMAN_family	human	378998284	355018519	370749713	404691108	401123238	423339854	368346169	274549998	346195412	292886365
sp|P11021|BIP_HUMAN	human	366657069	330029846	377725446	379020154	375179101	408784579	340865739	279801565	308061683	284547065
sp|Q00839|HNRPU_HUMAN	human	343661587	336770252	324430674	356247213	363094429	408070773	347689318	277298763	317932999	292333674
sp|P14618|KPYM_HUMAN	human	374502802	333861026	338956586	384309123	344668349	394782102	321651707	272863250	293907823	275666639
sp|P60174|TPIS_HUMAN	human	389842558	309979863	359930729	372314100	353891114	374852682	324347598	261660562	281085996	258880750
sp|P23528|COF1_HUMAN_family	human	279345614	278485480	320916532	329090575	381654982	380725967	346842476	281495338	335830617	299671236
sp|P31949|S10AB_HUMAN	human	309786527	279570270	325410447	348783469	370257823	354428407	354276263	248743677	305229848	269599156
sp|P62249|RS16_HUMAN	human	357260542	309053224	332976976	347569079	338872700	379290896	315714161	242812850	278296162	249182011
sp|P00558|PGK1_HUMAN	human	328041672	297136790	347431593	359883250	361707443	344373263	287667186	296515327	253900367	263477370
sp|P07237|PDIA1_HUMAN	human	336624778	296325275	327594102	342161249	339678235	361141275	306034229	249569281	270628308	250001443
sp|P0A6P9|ENO_ECOLI	E.coli	157393785	133087300	153647144	297564680	249967215	299630326	230284181	468396470	533012060	501902880
sp|P08200|IDH_ECOLI	E.coli	185923621	159958050	186344767	310178419	263177306	314037930	242157425	434652323	465430157	447424523
sp|Q02878|RL6_HUMAN	human	312344032	259206477	316582259	347219342	317027671	337570551	304082833	251340785	308650983	251141070
sp|Q14204|DYHC1_HUMAN	human	306017239	274291632	295664655	307381054	318833666	337822259	285074814	232112303	256949470	235065206
sp|Q06830|PRDX1_HUMAN	human	297850636	360303413	217376041	282885164	283657528	381126776	288080770	193567161	276849967	218429028
sp|P0A6F5|CH60_ECOLI	E.coli	165461239	144696510	158036362	285818845	240398976	290204182	220640290	410429294	442613645	428440190
sp|O75369|FLNB_HUMAN	human	288238178	261865619	275093675	311296008	287859003	329399370	275664055	239680168	258462344	244376175
sp|P61978|HNRPK_HUMAN	human	284859986	260678136	264431387	299948182	275239865	320819229	275915175	230054359	274475050	241725346
sp|P62937|PPIA_HUMAN	human	258928577	273752306	271953939	308061833	314320129	321938997	272743533	213658783	235727925	227231815
sp|P40926|MDHM_HUMAN	human	285601688	242378099	278013414	283596090	307220910	307241048	276085360	220076561	261737963	232177243
sp|P78527|PRKDC_HUMAN	human	279667727	254357868	264504011	288152465	284462228	307639075	252525647	222829979	254646514	221364025
sp|P63104|1433Z_HUMAN	human	282845337	262220332	280301413	292722222	279819567	329002640	258628440	209473401	219286629	212079245
sp|P05793|ILVC_ECOLI	E.coli	146745062	131066774	146078670	258283458	220974971	261719879	208748263	389347323	439172834	415246233
sp|P31948|STIP1_HUMAN	human	271714327	243673881	263732435	288384494	284927601	312625846	256126115	214500149	231382813	219481990
sp|P09429|HMGB1_HUMAN	human	270897795	255837311	249958747	274053481	260517846	308280636	243250220	204590944	241133605	219074765
sp|P14625|ENPL_HUMAN	human	266071749	236546343	234918271	278153974	258196303	286653780	239373799	200793416	222063060	208765625
sp|P38646|GRP75_HUMAN	human	264296685	232715431	257238998	279553542	255767606	294111486	232978381	190623401	207359293	200717694
sp|P29401|TKT_HUMAN	human	262607220	222950256	251175711	262446844	274895202	290291895	237864866	175971792	222748970	186443067
sp|P0A6M8|EFG_ECOLI	E.coli	138130581	106331948	127771600	234203950	196228521	236631335	179721900	339028735	403045252	360612239
sp|P07339|CATD_HUMAN	human	245882171	224473950	236101058	253596042	256268848	281453054	227385262	174042773	193978216	182548222
sp|P35579|MYH9_HUMAN	human	238944192	214623018	231824661	259250169	241153064	267218100	235952588	185006115	209280394	191827975
sp|P36578|RL4_HUMAN	human	238599712	215950014	232053952	266885493	244851285	255620992	219911834	183913965	212920823	190997213
sp|P06996|OMPC_ECOLI	E.coli	123636947	96724372	114988876	223521167	184169171	218485034	174941830	340925891	386430645	360683215
sp|O43707|ACTN4_HUMAN	human	244317514	220354927	229352899	247857918	239215224	264594615	222694398	174694718	193775248	180796375
sp|P36683|ACNB_ECOLI	E.coli	130755588	114780862	132051120	217584251	196110479	219989387	175335116	305856690	352518380	330874539
sp|P0A9B2|G3P1_ECOLI	E.coli	123160434	101650604	121379163	210825199	186875264	215141469	170690696	319043102	376743137	341537357
sp|P68032|ACTC_HUMAN_family	human	213438784	194408029	229445653	264486735	243217028	272401411	230330813	166376852	192646309	159054259
sp|P06744|G6PI_HUMAN	human	217335886	200713892	256281777	238109055	241642071	253034392	220075390	173881456	191572130	168429469
sp|P0AE08|AHPC_ECOLI	E.coli	114951251	96786051	115211243	212348499	187077078	206638605	179348993	324314458	369212309	354396733
sp|P09651|ROA1_HUMAN_family	human	237826155	210353607	224142583	231320077	201212403	257732022	211167329	191795598	208155849	180517051
sp|P02545|LMNA_HUMAN	human	232338895	206474529	224388430	238366468	233607560	252960790	218003296	170465561	190307863	179776719
sp|P0A850|TIG_ECOLI	E.coli	123955984	104523609	120202827	218138083	183584808	216182040	165881976	319168086	348156687	336966406
sp|P0AD96|LIVJ_ECOLI	E.coli	119904887	102840409	121682267	216541461	179265743	211187862	169340592	317411376	354212040	342025740
sp|P0A799|PGK_ECOLI	E.coli	111861534	94707193	118100072	207138640	182997771	210580157	167493233	311377820	369369111	333530546
sp|P0AG67|RS1_ECOLI	E.coli	134106327	114041323	126785775	220780797	176662682	215510884	166118219	309123150	313830587	322061564
sp|P25705|ATPA_HUMAN	human	210928263	206507209	202504558	234796623	224054918	249804187	204141409	175110228	201764086	180727329
sp|P20700|LMNB1_HUMAN	human	231926535	207802818	219066033	232968405	208369866	251130214	204971518	167740931	176957197	166127301
sp|P61604|CH10_HUMAN	human	198859682	174332983	185162720	233175120	209674141	256160528	188913719	199206692	212748727	208012856
sp|P00338|LDHA_HUMAN	human	211872945	196231234	214312474	253815358	222550107	240228919	191800425	183371259	174297750	171770736
sp|P13667|PDIA4_HUMAN	human	211442403	191903113	203386158	221510068	222687680	239457673	196086300	162797144	181979594	164579199
sp|P0A7K2|RL7_ECOLI	E.coli	120907910	99202111	112860241	195462113	166338723	209913109	153885385	298064425	305432903	310055262
sp|P52272|HNRPM_HUMAN	human	196241586	193606551	197174465	207082867	218768138	222122621	191131508	169825803	187258112	167134306
sp|O60701|UGDH_HUMAN	human	208667348	187543302	197156918	219265089	211588839	237267016	189159899	159286053	171923727	158593592
sp|P23396|RS3_HUMAN	human	206110705	178831569	195179519	220328598	208848747	219392585	187171211	160238920	184111231	154837434
sp|P07910|HNRPC_HUMAN_family	human	221833953	195287992	198490198	210758301	197981306	227672844	184714839	151340751	164628152	155608012
sp|P0A9Q7|ADHE_ECOLI	E.coli	111522291	92786104	106988026	185207208	160401826	190980330	146011573	273776440	308655106	290122072
sp|P0A8T7|RPOC_ECOLI	E.coli	118953734	103392666	116230803	185659726	169736696	190026571	156317290	250480576	302190310	269449219
sp|P07355|ANXA2_HUMAN	human	214904589	179948478	190572365	204784372	204610931	225578318	182819721	143424092	166807544	147953581
sp|P07900|HS90A_HUMAN_family	human	190210649	182130633	192023590	204778466	210279360	215256585	185557463	155324392	170660443	154474543
sp|P64581|YQJD_ECOLI	E.coli	101196598	83561158	93177717	173516551	153489391	185543969	142851599	274490418	309831699	297243781
sp|Q00610|CLH1_HUMAN_family	human	180934355	173275746	181197763	202079510	197430097	209363983	176875496	151213823	166959180	154035840
sp|P0A825|GLYA_ECOLI	E.coli	102496542	83955045	99457668	179062866	156379676	179467567	147858421	267229521	292373738	278767364
sp|P0A7V8|RS4_ECOLI	E.coli	109466839	88350002	101489349	186930613	151938838	185145736	144883392	253101341	287755372	269900680
sp|P15924|DESP_HUMAN	human	179092797	170638952	176730049	191186891	189796203	204332617	173888138	145587758	156247067	152362740
sp|P02358|RS6_ECOLI	E.coli	100579259	82798698	103517598	173503185	147017234	168999586	136716825	249531664	286421677	288596295
sp|P62826|RAN_HUMAN	human	176893887	171063712	168120688	189724427	179554147	189290094	184791091	143986808	146329403	135548465
sp|P02359|RS7_ECOLI	E.coli	88850117	76266259	87840251	162299073	144850600	168412997	125676316	253358628	290184419	278870270
sp|P0C8J6|GATY_ECOLI	E.coli	96809002	83255365	97436527	167878436	140144964	171743309	135972241	242641515	271081158	248004721
sp|P15311|EZRI_HUMAN	human	177520486	151138866	162443944	178938836	169783544	195790926	156595630	141535760	145296135	137821056
sp|P27797|CALR_HUMAN	human	168734051	153407683	165706364	178630140	178869007	192317886	154011284	137319473	144185795	132155668
sp|P42704|LPPRC_HUMAN	human	167198988	147690764	158798055	178769022	181521703	189032401	157587982	133828499	151071421	138815469
sp|P32119|PRDX2_HUMAN	human	148415642	143548942	165721752	165128074	181233024	201395280	156206844	135174442	147827945	134250440
sp|P00918|CAH2_HUMAN	human	169318821	151171666	164347029	175112857	168038319	197047659	154870768	120603949	140201709	123335557
sp|P16949|STMN1_HUMAN	human	152893660	177900641	142003853	132178401	169954856	186963481	165328526	154002091	143055247	139432668
sp|Q14980|NUMA1_HUMAN	human	167909144	152260816	158967455	164222872	161512087	186201726	157806619	124880762	140137059	132083731
sp|Q02790|FKBP4_HUMAN	human	162728465	151893313	169202996	177561636	163037724	182845467	148395839	128000361	131057486	124728778
sp|P49588|SYAC_HUMAN	human	175034897	151420776	161874507	170917819	163708039	191795081	144396031	122460738	126372359	123000458
sp|P0A6P1|EFTS_ECOLI	E.coli	84394448	74221047	84579925	151023614	129289756	155493544	116300461	231681678	247720376	245991534
sp|P0A836|SUCC_ECOLI	E.coli	88324660	73712326	83373422	149083714	132548421	154971825	119481995	225883420	250992111	232954874
sp|P15880|RS2_HUMAN	human	156862092	140635959	157809770	176123952	167305994	166414492	151973432	123710058	146497141	121627836
sp|P60422|RL2_ECOLI	E.coli	86213605	75038395	83750468	145091956	131583793	152477549	123063987	220319732	257653900	228383738
sp|P0A6F3|GLPK_ECOLI	E.coli	83111378	67947260	82781390	147881396	130897542	146584575	117617100	222377772	254863822	242677747
sp|P55072|TERA_HUMAN	human	150093018	139311279	154085346	165918305	168449728	180032665	147002427	125001548	127869004	123692068
sp|P37837|TALDO_HUMAN	human	152860928	138059270	151855431	161449904	168530949	176582876	151241292	121357002	130397870	115465879
sp|P11413|G6PD_HUMAN	human	150847300	143462966	150819228	162256270	161515323	177314432	143381334	121929988	127046006	125217856
sp|P08997|MASY_ECOLI	E.coli	78174163	70135913	74804090	146961203	117457196	155674450	109554961	222481563	244213195	238840458
sp|P58107|EPIPL_HUMAN	human	151690044	138301702	150611107	158457967	157975579	172298248	144272479	121966108	135116488	121727035
sp|P62258|1433E_HUMAN	human	156791180	141843515	149833885	156723758	156406680	174064987	142351164	116777775	126354825	116505356
sp|P0A870|TALB_ECOLI	E.coli	85427531	69556491	84108707	141561371	123957356	148491777	112593085	209066040	232837360	227973425
sp|P0ACF8|HNS_ECOLI	E.coli	75413351	67372570	70428968	143788160	115817140	146360657	103738436	233356260	231547896	239115458
sp|P53396|ACLY_HUMAN	human	157562402	128601169	148255116	160655287	156399347	162637653	138502413	117102197	133815729	119681676
sp|P52209|6PGD_HUMAN	human	155407017	137059159	149391327	154479214	157185303	171519572	143172395	113412567	119700304	111028805
sp|P07737|PROF1_HUMAN	human	143241514	134324069	142273276	184486583	148227428	160828903	144554298	112078555	122434520	114983506
sp|P23847|DPPA_ECOLI	E.coli	75874580	65768729	75458430	143305864	116431883	148000119	110065240	217732729	229323801	221652017
sp|Q9H993|ARMT1_HUMAN	human	150937096	138119214	151705349	155847590	152458031	175337953	132769148	110085039	117976432	114206393
sp|P0ABK5|CYSK_ECOLI	E.coli	72222875	61731773	72466065	134029452	118299291	139563875	106502614	211133414	245074366	231776925
sp|P63241|IF5A1_HUMAN_family	human	153191619	123252522	157254537	155677638	149312292	165534372	138458071	112792130	119482637	105298707
sp|P17844|DDX5_HUMAN	human	135441600	129464514	134329677	142126244	148612422	154664491	140915971	127531425	136975012	120880016
sp|P12004|PCNA_HUMAN	human	134078525	132525064	133249458	137564015	173848242	152039079	140918956	119505469	123191062	118764970
sp|P13010|XRCC5_HUMAN	human	141025132	133626834	136156809	147869612	149603272	161663308	134504623	120567308	125404503	113206661
sp|Q13813|SPTN1_HUMAN	human	136766451	128605981	136557441	149530251	152942535	158448974	131822046	122171965	129749210	116676596
sp|P26583|HMGB2_HUMAN	human	145363053	140691971	136807361	154995422	142464327	164420979	132553793	108388878	117639664	111146052
sp|P46777|RL5_HUMAN	human	134797910	128383274	135753422	158269485	140371395	159880718	134978757	108694482	115585974	111272973
sp|P46940|IQGA1_HUMAN	human	148939083	126608110	132433836	142357406	138005030	154259713	134545976	110529831	120558308	113362333
sp|Q99497|PARK7_HUMAN	human	127914286	124549299	138011155	147546934	137626600	154188649	128598171	111200514	117483848	114130673
sp|P67936|TPM4_HUMAN	human	145295057	127140628	125947530	148919041	147324712	150428707	129386426	99699673	107449860	105318281
sp|P26641|EF1G_HUMAN	human	141550706	116873114	137233209	142820904	149015766	143761803	125645234	104868906	112894990	107076045
