Accession	HorE	A_70_7pt5	B_70_7pt5	C_70_7pt5	A_70_15	B_70_15	C_70_15	D_70_15	A_70_45	B_70_45	C_70_45
sp|P62805|H4_HUMAN	human	2784360943	3217532059	2591349529	2750755460	2782912770	3034207215	2658136977	2865764863	2421295472	2779289527
sp|P84243|H33_HUMAN_family	human	1170029376	1153106141	1145745021	1046935554	1116691168	1123955594	1084853090	993565765	982642637	1040829096
sp|P04075|ALDOA_HUMAN	human	1173818665	1036534408	1152233757	1009570093	1080949244	1076743983	1041664409	1002644437	1067192847	981577075
sp|P06733|ENOA_HUMAN	human	1076227922	980044541	1084006622	1018473810	1024054515	991107876	999413587	948348946	937168434	946290548
sp|P0A910|OMPA_ECOLI	E.coli	496338673	441207058	496204100	868876024	769597479	833466058	765935798	1824285378	1951742639	1982577042
sp|P58876|H2B1D_HUMAN_family	human	1039030344	1065119916	936959965	870270997	981803629	955290723	985533509	916284059	971307783	881069820
sp|P08238|HS90B_HUMAN_family	human	616180547	563478890	625770258	635389109	647616405	618511959	653844925	623904432	691353271	667108358
sp|P04406|G3P_HUMAN	human	599798325	658814066	620818631	664623893	627786015	632972176	603859181	653838254	597871967	621426292
sp|P10809|CH60_HUMAN	human	627874810	636159658	623462565	640395129	600551194	635385098	598257594	618648675	614934890	614354096
sp|P0CE47|EFTU1_ECOLI (+1)	E.coli	272446810	256180564	297248320	481270057	437032472	477343037	446114238	1043792009	1124159278	1143131351
sp|P06748|NPM_HUMAN	human	573724012	576613643	555167368	580059614	547509089	545663929	542301287	572733650	600462564	558679593
sp|P02931|OMPF_ECOLI	E.coli	271491238	256328414	267292872	507011550	411991496	498053308	419464701	962327374	1114178824	1053912612
sp|P25665|METE_ECOLI	E.coli	281994507	256339829	286024257	483142015	426890123	468746334	436327028	975523539	1049133111	1048798982
sp|P21333|FLNA_HUMAN	human	521305071	503000480	528622387	524034701	528074842	522457065	507293911	504657507	489463667	499241669
sp|P49327|FAS_HUMAN	human	524473137	497900051	513000459	508002949	514611122	504387399	505181631	498017705	518721031	505122860
sp|P16403|H12_HUMAN_family	human	520308563	595913564	519540707	459788840	514137982	497035167	492161236	517326604	454092498	481852418
sp|Q9NY65|TBA8_HUMAN_family	human	460410330	509381183	478765825	497098644	499359218	528906178	499334718	510676153	497118105	486653770
sp|P60709|ACTB_HUMAN_family	human	426639809	512609257	484774448	572205420	516692292	483367366	529767242	459243169	473854203	499932341
sp|P68104|EF1A1_HUMAN	human	511517212	465818626	486565309	509665091	553229383	455542767	479683097	496235117	485121458	470148961
sp|P22626|ROA2_HUMAN	human	485358086	520384594	494183391	479834985	494376586	493649711	470042234	479645378	500575888	480973222
sp|P04792|HSPB1_HUMAN	human	527871074	499286483	501846463	470504136	455410488	507469204	472539282	447577355	432847303	449794206
sp|P19338|NUCL_HUMAN	human	472927664	490637055	458330816	459224537	457201688	467617814	467363525	457528846	454303055	452134914
sp|P13639|EF2_HUMAN	human	467263480	438622560	469436625	468337718	456158712	436604933	441771349	435037824	431647164	424110400
