New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_GMHJYZ_human_ecoli	Unique_GMHJYZ_human_ecoli	Corrected_GMHJYZ_human_ecoli	PSMs_Used_GMHJYZ_human_ecoli	TotInt_126C_GMHJYZ_human_ecoli	TotInt_127N_GMHJYZ_human_ecoli	TotInt_127C_GMHJYZ_human_ecoli	TotInt_128N_GMHJYZ_human_ecoli	TotInt_128C_GMHJYZ_human_ecoli	TotInt_129N_GMHJYZ_human_ecoli	TotInt_129C_GMHJYZ_human_ecoli	TotInt_130N_GMHJYZ_human_ecoli	TotInt_130C_GMHJYZ_human_ecoli	TotInt_131N_GMHJYZ_human_ecoli	TotInt_131C_GMHJYZ_human_ecoli
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	12	7	0.583	12	7	8.750	7	331896.15380900004	245199.633179	240902.625855	259328.42578	256832.644532	300769.03589	211053.479859	189261.75024400002	203778.91210900003	175614.889526	500.0
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	31.2	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	18	13	0.722	18	13	16.250	13	1401829.970704	1175769.72461	1258532.769531	1348285.385743	1466664.0966810002	1441105.8105470003	1303610.825197	1369610.6054679998	1142901.0507819997	1292659.5703130001	24393.439452000002
3	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	25.0	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	409	409	1.000	409	409	409.000	409	827736833.866458	439527558.34362984	580982536.4815717	468303236.0324719	537345297.109378	461005559.6694397	430529765.6096153	305404324.8234939	422223567.42676103	376070660.8599291	8262969.921507998
4	1	CONT_015|gi|229552|prf||754920A	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	38.2	581	65797	albumin [Bos primigenius taurus].	119	13	0.109	119	13	41.578	13	1329345.0703140001	1233337.567383	1292135.958008	1462753.9619149999	1272408.010742	1440584.7421899997	1234972.021484	939965.921876	957047.773437	927878.75586	7983.525146999999
5	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	43.8	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	128	22	0.172	128	22	70.363	22	1414313.8968490001	1426392.825929	1416411.1754160002	1628915.468261	1823350.5974110004	1290913.9592300002	1375961.4414039997	1035476.598145	1360047.459348	1522532.156006	31867.476685
6	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN (+1)	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN&sp|P02768|ALBU_HUMAN	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	33.5	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	117	51	0.436	117	51	97.058	51	5168061.687259001	6329102.9649680015	6664048.225707001	6427071.028079	4950963.734618999	5509002.043582	5480241.561279	4942521.908937001	5299692.584718999	4399295.196165999	82383.851073
7	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	4.8	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	20	0	0.000	20	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	43.5	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	18	18	1.000	18	18	18.000	18	581150.795409	689757.12207	517471.779053	585508.7719729999	1027547.209961	658534.716309	546493.4423829999	651570.790527	526036.803223	514887.222166	13441.251648
9	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	8.6	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	2	2	1.000	2	2	2.000	2	163919.757813	161235.3125	147755.367187	158650.773438	167376.75	183754.015626	156985.757813	141672.101562	134194.707031	147075.492187	8504.716308000001
10	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	17.9	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	5	5	1.000	5	5	5.000	5	1215120.233398	1566835.482911	1262050.264648	1334859.189941	2316078.156738	1682173.980469	1315257.4282220001	2343179.92334	1210279.72876	1342352.266113	39718.410157000006
