Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020


	=SUBTOTAL(109,B6:B9936)															
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_GMHJYZ_human_ecoli	Unique_GMHJYZ_human_ecoli	Corrected_GMHJYZ_human_ecoli
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	12	7	0.583	12	7	8.750
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	31.2	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	18	13	0.722	18	13	16.250
3	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	25.0	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	409	409	1.000	409	409	409.000
4	1	CONT_015|gi|229552|prf||754920A	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	38.2	581	65797	albumin [Bos primigenius taurus].	119	13	0.109	119	13	41.578
5	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	43.8	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	128	22	0.172	128	22	70.363
6	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN (+1)	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN&sp|P02768|ALBU_HUMAN	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	33.5	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	117	51	0.436	117	51	97.058
7	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	4.8	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	20	0	0.000	20	0	0.000
8	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	43.5	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	18	18	1.000	18	18	18.000
9	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	8.6	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	2	2	1.000	2	2	2.000
10	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	17.9	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	5	5	1.000	5	5	5.000
15	1	CONT_060|gi|542923|pir||S37780 (+2)	CONT_060|gi|542923|pir||S37780&CONT_095|gi|547750|sp|P35900|K1CT_HUMAN&sp|P35900|K1C20_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q6A162|K1C40_HUMAN, sp|Q8N1A0|KT222_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	4.5	424	48571	keratin 20, cytoskeletal [Homo sapiens].	27	0	0.000	27	0	0.000
17	1	CONT_068|gi|1082558|pir||S41161 (+2)	CONT_068|gi|1082558|pir||S41161&CONT_105|gi|547748|sp|P35527|K1CI_HUMAN&sp|P35527|K1C9_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P02533|K1C14_HUMAN	contaminant	60.5	623	62129	keratin 9, cytoskeletal [Homo sapiens].	186	101	0.543	186	101	112.106
23	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN (+1)	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN&sp|Q04695|K1C17_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN	contaminant	34.0	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	232	6	0.026	232	6	12.500
